June,czerwca
familiarly,a życie rodzinne z podrzędnymi jest poniżające
inferiors,a życie rodzinne z podrzędnymi jest poniżające
inference,z jakimkolwiek
justification,z jakimkolwiek
desecrated,patrzą na mnie z tym samym uczuciem które teraz w jego umyśle zbezcześciło ich pamięć
disapprove,nie
corroded,wszystkich
womankind,wszystkich
Abhorred,Obrzydliwe miejsce
negligently,Minąłem go tak samo niedbale jak naprzeciwko niego wierzba słupkowa
arbitress,żadnego wewnętrznego ostrzeżenia że arbiter mojego życia mój geniusz dobra lub zła czekał tam w pokornym przebraniu
guise,żadnego wewnętrznego ostrzeżenia że arbiter mojego życia mój geniusz dobra lub zła czekał tam w pokornym przebraniu
Childish,Dziecinne i smukłe stworzenie
linnet,że na
hopped,że na
surly,Byłem gburowaty
frail,i
vanish,że się
outward,Adèle przez chwilę przyciągała twoją zewnętrzną uwagę Johnie aż bolą mnie ścięgna zadowolę go do najdrobniejszego centralnego punktu i najdalszego zewnętrznego kręgu jego oczekiwań
betook,powoli przechadzałeś się po galerii
pace,powoli przechadzałeś się po galerii
vexed,Byłem zirytowany że zniknąłeś mi z oczu
Impatiently,Z niecierpliwością czekałem na wieczór kiedy mógłbym cię wezwać do swojej obecności
quaintly,byłeś osobliwie ubrany podobnie jak teraz
contrasts,i
diffident,i się
disadvantageously,i się
solecism,i się
plied,kiedy zadawali ci bliskie pytania znalazłeś gotowe i okrągłe odpowiedzi
tranquillised,bo zdumiewające było widzieć jak szybko pewien przyjemny spokój uspokoił twoje zachowanie
snarl,warknął jakbym chciał nie okazałeś zdziwienia strachu irytacji ani niezadowolenia z powodu mojego smutku
moroseness,warknął jakbym chciał nie okazałeś zdziwienia strachu irytacji ani niezadowolenia z powodu mojego smutku
sagacious,mnie czasu do
epicure,i
prolong,i Przedłużanie wątpliwości oznaczało przedłużanie nadziei
indestructible,Nie wiedziałem wtedy że to nie jest przejściowy kwiat ale raczej promienne podobieństwo jednego wyciętego w niezniszczalny klejnot
thoughtful,na do
social,Widziałem że masz serce towarzyskie Wątpiłem czy zrobiłem krok który zatonął zamiast podnieść mnie na skalę życia społecznego
tedium,to
simulate,Zbyt często cię lubiłem żeby naśladować pierwszy kaprys
wistful,się czasu do
furtively,na
Past,jest o wiele
Present,jest o wiele
Future,jest o wiele
infatuated,jest o wiele
manhood,w
wraps,Ciebie i
mockery,i
stubbornness,ale obawiałem się uporu który istnieje w twoim charakterze
prejudice,Obawiałem się że wcześnie zaszczepione zostaną uprzedzenia
hazarding,Chciałem żebyś był bezpieczny zanim zaczniesz ryzykować zwierzenia
confidences,Chciałem żebyś był bezpieczny zanim zaczniesz ryzykować zwierzenia
appealed,do i wam
nobleness,i wam
magnanimity,i wam
resistless,i
ordeal,Dlaczego milczysz Jane Przeżywałem mękę
vitals,siły życiowe
blackness,pełna walki czerni palenia Ponura czerń kamieni zapowiedziała jaki los spotkał Hall przez pożar
renounce,i
Depart,Jedno ponure słowo zawierało mój nieznośny obowiązek Odejdź Jane rozumiesz czego od ciebie chcę Tylko ta obietnica Będę twój panie
gentleness,Jane
extricating,Ja tak szybko i całkowicie uwalniając się od zahamowań
forebore,ale on zrzekł się jeszcze
sinless,wam i
fling,wam i
lust,wam i
sully,splamiłeś mój honor Skarzę czystość twojej podłogi powiedział ale musisz mi choć raz wybaczyć Potem zbliżył się do ognia
perversity,w przewrotność tak
transgress,nie
traitors,gdy i mnie
clamoured,i krzyczało dziko
comply,Och przestrzegaj powiedziało
recklessness,rozważ lekkomyślność wynikającą z rozpaczy uspokój go
indomitable,o
unsustained,bardziej
sanctioned,usankcjonowane przez człowieka
sane,Będę się trzymał zasad które otrzymałem kiedy byłem zdrowy na umyśle a nie szalony tak jak teraz
Laws,nie
rigour,w
stringent,moje
inviolate,będą nienaruszone
Preconceived,w
foregone,w
determinations,w
stubble,fizycznie czułem się w tej chwili bezsilny jak zarost wystawiony na przeciąg i blask pieca
ultimate,mentalnie nadal posiadałem swoją duszę a wraz z nią pewność ostatecznego bezpieczeństwa za rozpaczliwy smutek i śmiertelną wściekłość konsekwencje mojego odejścia które mogą teraz ściągać go ze ścieżki prawa zbyt daleko by zostawić tam nadzieję na ostateczne przywrócenie
interpreter,tłumacza
truthful,tłumacza wciąż
gripe,jego narzekanie było bolesne a moje nadwyrężone siły prawie wyczerpały się
overtaxed,jego narzekanie było bolesne a moje nadwyrężone siły prawie wyczerpały się
reed,Czuje w mojej dłoni zwykłą trzcinę Stałem się giętki jak trzcina pod jego dobrocią
uptore,gdybym
Consider,gdybym
defying,z
rend,Jeśli rozerwę jeśli zerwę lekkie więzienie moje oburzenie uwolni jeńca tylko
Conqueror,Conqueror I może być z domu
possessor,posiadaczem się
clay,ale więzień uciekł do nieba zanim mógłbym nazwać siebie posiadaczem glinianego mieszkania Biała jak glina lub śmierć odpowiedział
brittle,nie tylko twoja krucha rama
nestle,Z siebie mógłbyś przylecieć miękkim lotem i wtulić się w moje serce gdybyś zechciał
essence,pochwycony wbrew twojej woli wymkniesz się przed uściskiem jak esencja znikniesz zanim wdycham twój zapach
clutch,chodź mnie
succumbed,jednak teraz tylko idiota by się poddał
rescuer,Nie
reiterate,Jak trudno było stanowczo powtórzyć Idę Jane Pan
Withdraw,się
determinedly,z
evaded,ale uniknąłem uścisku i natychmiast opuściłem pokój
Despair,Rozpacz dodała Żegnaj na zawsze Tej nocy nigdy nie myślałem że zasnę
syncope,się
glidingly,się
tremblingly,się
obscured,się
imparts,blask był taki jak księżyc rzuca oparom które ma zamiar odciąć zamyka w sobie każde uczucie i ból wyraża wyznaje niczego nie udziela
vapours,blask był taki jak księżyc rzuca oparom które ma zamiar odciąć
inclining,wtedy nie księżyc ale biała ludzka postać świeciła na lazurze pochylając chwalebne brwi w kierunku ziemi
earthward,wtedy nie księżyc ale biała ludzka postać świeciła na lazurze pochylając chwalebne brwi w kierunku ziemi
immeasurably,tak
trance,tak
locket,Wiedziałem gdzie znaleźć w moich szufladach bieliznę medalion pierścionek
Drearily,Z dreszczem zszedłem na dół
oiled,Naoliwiłem klucz i zamek
sorely,się
Dim,Na podwórku lśnił ciemny świt
latched,ale furtka w jednym z nich była tylko zaryglowana
wakening,ani na
scaffold,o
axe,o
disseverment,oderwania kości i żył
homeless,i
panted,Dyszałem żeby wrócić
bereavement,Mogłem mu jeszcze oszczędzić gorzkiego bólu żałoby
undiscovered,Byłem pewien że jak dotąd mój lot nie został odkryty
redeemer,od
selfabandonment,Och ten strach przed jego samozamowieniem o wiele gorszy niż moje porzucenie jak mnie dręczył
abandonment,Och ten strach przed jego samozamowieniem o wiele gorszy niż moje porzucenie jak mnie dręczył
goaded,Och ten strach przed jego samozamowieniem o wiele gorszy niż moje porzucenie jak mnie dręczył
barbed,To był kolczasty grot strzały w mojej piersi
arrow,To był kolczasty grot strzały w mojej piersi
extract,i
brake,Ptaki zaczęły śpiewać w hamulcu i zagajniku
copse,Ptaki zaczęły śpiewać w hamulcu i zagajniku
mates,ptaki były wierne swoim partnerom
emblems,ptaki były symbolami miłości
retrace,nie
impassioned,Jeśli chodzi o moją własną wolę lub sumienie namiętny żal podeptał jedną a drugą dławiła Co Chciałem powiedzieć pełen pasji
agonised,w tak
XXVIII,ROZDZIAŁ XXVIII Minęły dwa dni
Whitcross,Whitcross
midland,Shire w północno środkowej części kraju zmierzch z wrzosowiskami usiany górami
moorland,z
ridged,Shire w północno środkowej części kraju zmierzch z wrzosowiskami usiany górami
heather,wszystkie są porośnięte wrzosowiskiem a wrzos rośnie głęboko i dziko aż do samego skraju
objectless,się i
incredible,to brzmiałoby niesamowicie i
fellowcreatures,mnie
furrowing,Trzymałem się zagłębienia które widziałem głęboko bruzdującego brązowe wrzosowisko
moorside,Trzymałem się zagłębienia które widziałem głęboko bruzdującego brązowe wrzosowisko
waded,Brodziłem po kolana w jego mrocznym narośle
growth,w
turnings,Odwróciłem się z jego zakrętami i znalazłem poczerniałą od mchu granitową skałę w ukrytym kącie usiadłem pod nią
protected,urwisko chroniło moją głowę
sportsman,że może
poacher,że może
gust,podmuch wiatru to na i
plover,jeśli gwizdała siewka wyobrażałem sobie mężczyznę
Finding,Jednak moje obawy okazały się bezpodstawne i uspokojone głęboką ciszą panującą jak wieczór
unfounded,Jednak moje obawy okazały się bezpodstawne i uspokojone głęboką ciszą panującą jak wieczór
nightfall,spadła o zmroku nabrałem pewności siebie
habitation,kiedy nie
reluctant,niechętna sympatia do której dochodzi prawie pewna odraza zanim moja opowieść mogła zostać wysłuchana lub jedno z moich pragnień zostało zaspokojone nie jest pan niechętny aby mnie przyjąć i posiadać prawda Jane będę twoim bratem moje siostry będą twoimi siostrami bez przewidywania poświęcenia twoich słusznych praw Brat tak
importuned,niechętna sympatia do której dochodzi prawie pewna odraza zanim moja opowieść mogła zostać wysłuchana lub jedno z moich pragnień zostało zaspokojone
incurred,niechętna sympatia do której dochodzi prawie pewna odraza zanim moja opowieść mogła zostać wysłuchana lub jedno z moich pragnień zostało zaspokojone
chasm,łagodna gwiazda migotała tuż nad grzbietem rozpadliny
outcast,wyrzutkiem
mistrust,do nie ufać
rejection,a się
filial,a ja który od człowieka mógł przewidywać tylko nieufność odrzucenie zniewagę przylgnąłem do niej z synowską czułością
bilberries,Widziałem
jet,Widziałem tu i ówdzie dojrzałe borówki jak koraliki dżetowe na wrzosowisku
appeased,został zaspokojony
hermit,został zaspokojony
nightair,wznosząc się wysoko z każdej strony pozostawiał tylko wąską przestrzeń do wtargnięcia nocnego powietrza
invade,wznosząc się wysoko z każdej strony pozostawiał tylko wąską przestrzeń do wtargnięcia nocnego powietrza
coverlet,na
swell,i
plained,Wyłożył ziejące rany wewnętrzne krwawienie rozerwane struny
chords,Wyłożył ziejące rany wewnętrzne krwawienie rozerwane struny
bemoaned,opłakiwał go gorzką litością
pinions,i bezsilny jak ptak ze złamanymi obydwoma skrzydłami wciąż drżał roztrzaskanymi zębatkami w daremnych próbach jego odszukania
Worn,Znudzony tą torturą myśli podniosłem się na kolana Rzeczywiście byłem wyczerpany
planets,jej
grandest,Jego
worlds,Jego
wheel,Jego
infinitude,Jego
omnipotence,Jego
omnipresence,Jego
Milky,Spoglądając w górę oczami zamglonymi od łez ujrzałem potężną Drogę Mleczną
Remembering,Pamiętając co to było jakie niezliczone tam systemy przetaczały przestrzeń jak delikatny ślad światła poczułem moc i
efficiency,Byłem pewien że jestem w stanie ocalić to co uczynił
treasured,że ani
thanksgiving,Zmieniłem swoją modlitwę w dziękczynienie Powstałem z dziękczynienia
Source,Źródło Życia było także Zbawicielem duchów
Saviour,Źródło Życia było także Zbawicielem duchów
Want,Ale następnego dnia Want przyszedł do mnie blady i naga
lizard,Widziałem jaszczurkę przebiegającą po urwisku Chciałbym w tej chwili zostać pszczołą lub jaszczurką że mógłbym znaleźć tu odpowiednie pożywienie stałe schronienie
Hopeless,Bez nadziei na przyszłość chciałem ale tego żeby mój Stwórca pomyślał że tamtej nocy dobrze wymagał ode mnie mojej duszy
requirements,Jednak życie było jeszcze w moim posiadaniu ze wszystkimi jego wymaganiami bólami i obowiązkami
responsibilities,i obowiązkami
resistlessly,się i
apathy,się i
spire,i
cornfields,Cała dolina po mojej prawej stronie była pełna pastwisk pól kukurydzy i lasów
zig,a lśniący strumień płynął zygzakiem przez różne odcienie zieleni łagodne słoje ponury las przejrzystą i słoneczną leję
zag,a lśniący strumień płynął zygzakiem przez różne odcienie zieleni łagodne słoje ponury las przejrzystą i słoneczną leję
mellowing,a lśniący strumień płynął zygzakiem przez różne odcienie zieleni łagodne słoje ponury las przejrzystą i słoneczną leję
grain,a lśniący strumień płynął zygzakiem przez różne odcienie zieleni łagodne słoje ponury las przejrzystą i słoneczną leję
Recalled,się
waggon,się
labouring,się
drover,się
toil,do
destitution,nędzy
creased,Nie odważyłem się podać jej na wpół znoszonych rękawiczek pomiętej chusteczki
Disappointed,Rozczarowana oczekiwaniem klienta chłodno przychyliła się do mojej prośby
customer,Rozczarowana oczekiwaniem klienta chłodno przychyliła się do mojej prośby
acceded,Rozczarowana oczekiwaniem klienta chłodno przychyliła się do mojej prośby
unseasonable,ale świadomy jak nierozsądna byłaby taka manifestacja powstrzymałem ją
dressmaker,jest się krawcową
workwoman,Wkrótce zapytałem ją czy w wiosce jest jakaś krawcowa lub prostytutka Tak Będę zwykłą robotnicą
Necessity,Zostałem postawiony twarzą w twarz z Koniecznością
Nay,Nie
Oliver,Oliver
needlefactory,Fabryka igieł Olivera i odlewnia Czy pan
foundry,igieł i
employ,Oliver zatrudnia kobiety Nie bo wiedziałem że mam na myśli więcej niż przyjaciół ale nie mogłem powiedzieć jakiego innego słowa użyć
knawn,wiedziałem w nie
folk,się
mun,Biedni ludzie radzą sobie najlepiej jak potrafią ale jest tak dużo oszustw że możesz mi wybaczyć I chociaż ciągnąłem dość surowo chciałeś mnie odwrócić od drzwi w noc kiedy nie powinieneś był odciąć psa Cóż było ciężko
inducement,ale nie mogłem znaleźć żadnego pretekstu ani zobaczyć zachęty do wejścia
rambled,Wędrowałem po wiosce czasami udając się na niewielką odległość i wracając ponownie przez godzinę lub dłużej
informant,Zanim minęło wiele minut znów stanąłem na nogach i znowu czegoś szukałem źródła lub przynajmniej informatora
exquisitely,że nie
knocker,Jaki miałem interes żeby podejść do białych drzwi lub dotknąć błyszczącej kołatki W jakim sensie służba mi mogłaby być interesem mieszkańców tego mieszkania A jednak zbliżyłem się i zapukałem
cleanly,Otworzyła mu łagodnie wyglądająca schludnie ubrana młoda kobieta
faltering,głosem i
civilly,Potrząsnęła głową żałowała że nie mogła mi udzielić żadnych informacji a białe drzwi zamknęły się dość delikatnie i uprzejmie
abodes,tak
vulture,nie
talons,nie
parsonage,w
function,Zadaniem duchownego jest pomaganie przynajmniej radą tym którzy chcieli sobie pomóc Kiedy zaczniesz pełnić swoją funkcję
Renewing,Odnawiając wtedy odwagę i zbierając słabe resztki siły szedłem dalej
Marsh,Marsh
naught,była w nie jak to
mouthful,tylko jeden kęs aby uśmierzyć głód
allay,tylko jeden kęs aby uśmierzyć głód
Instinctively,Odruchowo zwróciłem twarz w stronę wioski
allude,o
moral,moralna degradacja zmieszana z fizycznym cierpieniem jest zbyt bolesnym wspomnieniem jakie kiedykolwiek istniało Opowiem ci tyle o historii wędrowca którego nosiłeś ile mogę opowiedzieć bez narażania mojego spokoju ducha własnego bezpieczeństwa moralnego i fizycznego oraz innych
unprofitable,A co do kobiety która nie wzięłaby mojej chusteczki w zamian za chleb to dlaczego miała rację gdyby oferta wydała się jej złowieszcza lub wymiana nieopłacalna
condense,Pozwól mi teraz skondensować
farmer,rolnik i
Towards,Nad ranem padał deszcz
trough,W drzwiach chaty zobaczyłem małą dziewczynkę która zamierzała wrzucić do koryta świni bałagan zimnej owsianki
lass,jej
T,Świnia tego nie chce Dziewczyna wylała usztywnioną pleśń na moją dłoń a ja pożerałem ją łapczywie
ravenously,Świnia tego nie chce Dziewczyna wylała usztywnioną pleśń na moją dłoń a ja pożerałem ją łapczywie
pursuing,się o
soliloquy,Moja siła zupełnie mnie zawodzi powiedziałem w monologu
descends,Czy mam znowu być wyrzutkiem tej nocy Podczas gdy pada deszcz
desolation,mnie tego spustoszenia
prostration,tego
reconcile,się
valueless,się
sustain,w że
unproductive,a
reclaimed,a
crows,w
ravens,w
prisoned,w
moulder,w
variation,Nie wykazywał żadnej zmiany poza odcieniem
overgrew,zieleń gdzie szuwar i mech porastały bagna
Dark,zmiany
alternations,zmiany
scenery,i
ridges,i pośród
receding,się ani nie
bonfire,Czy to w takim razie właśnie rozpaliło się ognisko Zapytałem
aslant,ukośnie przez w
bog,przez
splashy,przez
beamed,z
clump,z
firs,z
discriminated,Wyróżniłem szorstkie kamienie niskiego muru nad nim coś w rodzaju palisady a wewnątrz wysoki i kłujący żywopłot
palisades,Wyróżniłem szorstkie kamienie niskiego muru nad nim coś w rodzaju palisady a wewnątrz wysoki i kłujący żywopłot
prickly,Wyróżniłem szorstkie kamienie niskiego muru nad nim coś w rodzaju palisady a wewnątrz wysoki i kłujący żywopłot
groped,omacku
yew,i
Entering,Wchodząc
silhouette,i
lozenged,w której
shutter,i
sanded,i
dresser,z
pewter,z
beacon,Świeca której promień był moją latarnią spłonęła na stole
scrupulously,skrupulatnie
cursorily,Zauważyłem te obiekty tylko przelotnie w nich nie było nic nadzwyczajnego
suffusing,Grupa bardziej zaciekawiona pojawiła się w pobliżu paleniska siedząc nieruchomo pośród otaczającego go różowego spokoju i ciepła
bombazeen,i
pointer,na za
comparing,w
consulting,w
translation,w
firelit,Ta scena była tak cicha jakby wszystkie postacie były cieniami a mieszkanie oświetlone ogniem obrazem
cinders,było tak wyciszone słyszałem popiół spadający z kraty zegar tykał w mrocznym kącie
tick,było tak wyciszone słyszałem popiół spadający z kraty zegar tykał w mrocznym kącie
Diana,i
conveying,to
Da,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
trat,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
hervor,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
Einer,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
anzusehen,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
wie,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
Sternen,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
Nacht,Da trat hervor Einer anzusehen wie die Sternen Nacht Dobrze
archangel,Masz przed sobą mrocznego i potężnego archanioła
fitly,Masz przed sobą mrocznego i potężnego archanioła
fustian,Linia jest warta sto stron barchanu
Ich,die meines
wäge,die meines
Gedanken,die meines
der,die meines
Schale,die meines
meines,die meines
Zornes,die meines
und,die meines
Werke,die meines
mit,die meines
dem,die meines
Gewichte,die meines
Grimms,die meines
ony,jest
Hannah,Hannah
Varry,a wtedy otrzymamy więcej pieniędzy niż teraz Varry jak
ower,ale daj moc studiowania
Mortally,Mary prawda Śmiertelnie
lexicon,z ale
crabbed,z
Deutsch,z ale
childer,Ach dziecinko do o
yond,Ach dziecinko powiedziała To całkiem kłopotliwe żebym teraz wchodził do tego pokoju
lonesome,wygląda tak samotnie gdy krzesło jest puste i ustawione z powrotem w kącie Wytarła oczy fartuchem samotność samotnej dziczy
wi,i z
quieter,nie spokojniejszej i
heaviness,się
niver,się
wor,i o się
fand,był bardzo ostry kiedy twój brat wszedł do komnaty i go polubił
soart,John jest dla nich zupełnie inny
mich,twojej się w
booklearned,twojej
pictur,Ona zrobiła zdjęcie o tobie Mary
complexioned,Obie miały jasną karnację i były smukłe
slenderly,Obie miały jasną karnację i były smukłe
duskier,Ciemniejsze warkocze Diany zakrywały jej szyję gęstymi lokami
Ye,zauważyła nie
induce,i
vouchsafe,aby moich
hesitatingly,do z wahaniem
chimera,do
vagrant,nie
Move,się
agate,Obawiam się że masz jakieś złe plany agatów które sprowadzą cię do domów ludowych o tej porze nocy
followers,w
housebreakers,w
inflexible,i
clapped,i
throe,Ukłucie niezwykłego cierpienia dreszcz prawdziwej rozpaczy rozdziera mi serce
anchor,Nie tylko kotwica nadziei ale także podstawa hartu ducha zniknęła przynajmniej na chwilę
premature,na
perished,nie na i z
distinguishing,Forma była blisko jaka forma ciemna jak smoła noc i mój osłabiony wzrok uniemożliwiły mi rozróżnienie
Get,Wstań
excluding,swój
Famished,bardzo wygłodniała
balmlike,W jej prostych słowach przemawiała ta sama balsamiczna emocja
feebly,z początku słabo niecierpliwie wkrótce
avidity,John spójrz na chciwość w jej oczach Obecnie nie ma już siostro
Elliott,się Elliott
Anxious,się
alias,się
owners,i się
mendicant,Odważyłem się odłożyć żebraka wrócić do mojego naturalnego sposobu bycia i charakteru
Answering,Odpowiadając na jej współczujące spojrzenie uśmiechem powiedziałem Zaufam ci
masterless,Gdybym był bez pana i bezpańskim psem wiem że nie odwróciłbyś mnie dziś od swojego paleniska
undertone,Półgłosem dała Hannah kilka wskazówek
XXIX,ROZDZIAŁ XXIX
emaciated,Zastanawiam się przez co przeszła Wyobrażam sobie dziwne trudności biedny wychudzony blady wędrowiec Myślę że z jej sposobu mówienia nie jest osobą niewykształconą
splashed,i
fleshless,bezcielesny i wymizerowany raczej mi się to podoba
haggard,bezcielesny i wymizerowany raczej mi się to podoba
dialogues,a kiedy jest zdrowa i ożywiona mogę sobie wyobrazić że jej fizjonomia byłaby przyjemna Ani razu w ich dialogach nie słyszałem sylaby żalu z powodu gościnności którą mi okazali ani podejrzliwości lub niechęci do mnie
needless,Orzekł że nie trzeba posyłać po lekarza
overstrained,w
indicative,z pewnością nie wskazuje na wulgarność lub poniżenie Zupełnie inaczej odpowiedziała Diana
vulgarity,z pewnością nie wskazuje na wulgarność lub poniżenie Zupełnie inaczej odpowiedziała Diana
misunderstanding,Przekonasz się że jest to młoda dama która miała nieporozumienie ze swoimi przyjaciółmi i prawdopodobnie nieumyślnie ich opuściła
injudiciously,Przekonasz się że jest to młoda dama która miała nieporozumienie ze swoimi przyjaciółmi i prawdopodobnie nieumyślnie ich opuściła
restoring,Być może uda nam się ją im przywrócić jeśli nie będzie uparta
obstinate,jeśli
sceptical,na
tractability,na
Ill,Jan Chora lub dobrze zawsze będzie zwyczajna
satiety,Wkrótce poruszyła mnie sytość i chęć do działania
bemired,ale co mogłem założyć Tylko moja wilgotna i spalona odzież
benefactors,Wstydziłem się stanąć przed tak odzianymi dobroczyńcami
creases,zmarszczki pozostawione przez wilgoć wygładziły się
purified,i
presentable,i
degrade,i
Prejudices,Powszechnie wiadomo że uprzedzenia są najtrudniejsze do wykorzenienia z serca którego gleba nigdy nie została spulchniona ani zapłodniona przez edukację
eradicate,nie
fertilised,Powszechnie wiadomo że uprzedzenia są najtrudniejsze do wykorzenienia z serca którego gleba nigdy nie została spulchniona ani zapłodniona przez edukację
weeds,rosną tam mocni jak chwasty wśród kamieni
relent,ostatnio zaczęła trochę ustępować
hearthstone,na
loaves,Odwracając się do mnie biorąc kilka bochenków z pieca zapytała bez ogródek Czy kiedykolwiek błagałeś o to zanim tu przyszedłeś Przez chwilę byłem oburzony
oven,Odwracając się do mnie biorąc kilka bochenków z pieca zapytała bez ogródek Czy kiedykolwiek błagałeś o to zanim tu przyszedłeś Przez chwilę byłem oburzony Diana przechodząc i wychodząc w trakcie przygotowywania herbaty przyniosła mi ciastko upieczone na wierzchu piekarnika
afore,to
remembering,że
dunnut,nie Nie
boarding,w szkole z internatem
Mak,je
em,je ja
pies,i
nought,Nie chcę żebyś nic nie robił Ale muszę coś zrobić
mucky,nie
sarvant,nie
wark,nie
House,Moor House i
parish,parafii w
Morton,w i
Aye,jest Zawsze
Rivers,Rivers i
gurt,Mieszkali tu Rivers jego ojciec dziadek i Gurt
kirstened,nie
Dead,żyje
mony,nie
nursed,Pielęgnowałem ich wszystkich trzech To dowodzi że musiałeś być uczciwym i wiernym sługą
mista,Sądzę powiedziała Byłam kompletnie zagubiona w myślach o tobie
cheats,ale jest tak dużo oszustw że możesz mi wybaczyć I chociaż ciągnąłem dość surowo chciałeś mnie odwrócić od drzwi w noc kiedy nie powinieneś był odciąć psa Cóż było ciężko
forgie,ale jest tak dużo oszustw że możesz mi wybaczyć I chociaż ciągnąłem dość surowo chciałeś mnie odwrócić od drzwi w noc kiedy nie powinieneś był odciąć psa Cóż było ciężko
th,się w
mysel,o
tak,Oni wolą żeby nikt się nimi nie przejmował tylko ja
sharpish,Lubię wyglądać ostro Przez kilka minut utrzymywałem głęboką ciszę
maintained,Lubię wyglądać ostro Przez kilka minut utrzymywałem głęboką ciszę Od tego czasu utrzymuje regularną choć rzadką korespondencję
munnut,Za mało o mnie myślisz zauważyła ponownie
wrang,i widzę że się martwiłem ale teraz mam o tobie inny pogląd niż to co miałem
raight,w
dacent,w
floury,dłoń
horny,dłoń
heartier,i
paste,Kiedy zbierałem owoce a ona robiła pastę do ciast zaczęła podawać mi różne szczegóły dotyczące jej zmarłego pana i kochanki oraz dziecka jak nazywała młodych ludzi
aboon,i to jak stwierdziła miało ponad dwieście lat mimo wszystko wyglądało na małe skromne miejsce którego nie można porównać z panem
Vale,w
Bill,Ale pamiętała ojca Billa Olivera czeladnika igłowca
journeyman,Ale pamiętała ojca Billa Olivera czeladnika igłowca
needlemaker,Ale pamiętała ojca Billa Olivera czeladnika igłowca
owd,się w
Henrys,się w
onybody,do
registers,się w
maister,się w
farming,szaleńczo szalejący za strzelectwem rolnictwem i tym podobnymi Pani była inna
sich,szaleńczo szalejący za strzelectwem rolnictwem i tym podobnymi Pani była inna
bairns,a dzieci wzięły ją za nią
mak,i zawsze byli twórcami własnych Pan
bankrupt,ponieważ powiedzieli jej że ich ojciec kilka lat temu stracił mnóstwo pieniędzy przez człowieka któremu ufał który zbankrutował
threaped,się nie
Gone,Poszedłem do Mortona na spacer
toned,moim
cooing,Biedne dziecko biedna dziewczyna Diana miała stonowany głos przy moim uchu jak gruchanie gołębicy
solus,to z na kiedy lub
superfluous,nie mnie to co
workboxes,z
rosewood,z
mutely,w
classic,jego i
Athenian,całkiem ateńskie usta i podbródek
streaked,jego wysokie czoło bezbarwne jak kość słoniowa było częściowo pokryte nieostrożnymi lokami jasnych włosów
delineation,nie
impressible,nie jest
Quiescent,albo
nostril,albo
perceptions,albo
Eat,Zjedz to teraz powiedziała
unceremonious,W jego spojrzeniu była teraz bezceremonialna bezpośredniość poszukiwanie zdecydowana wytrwałość która wskazywała ten zamiar a nie niepewność dotychczas trzymał ją z dala od obcego
directness,W jego spojrzeniu była teraz bezceremonialna bezpośredniość poszukiwanie zdecydowana wytrwałość która wskazywała ten zamiar a nie niepewność dotychczas trzymał ją z dala od obcego
steadfastness,W jego spojrzeniu była teraz bezceremonialna bezpośredniość poszukiwanie zdecydowana wytrwałość która wskazywała ten zamiar a nie niepewność dotychczas trzymał ją z dala od obcego
brevity,sposób
abstain,się od
immoderately,nie
clumsilycontrived,nie
unpolished,nie
distrustfully,bez
literal,w mnie
figurative,w
agents,jako do
keenness,która kombinacja gorliwości i rezerwy była znacznie bardziej skalkulowana by zawstydzić niż zachęcić
considerably,i co
admittance,w na
agitating,i
crimsoned,Diana i Mary ulżyły mi zwracając oczy gdzie indziej niż na moje szkarłatne oblicze
sterner,i
concisely,Nazwa miejsca i nazwiska osoby z którą mieszkałem jest moją tajemnicą odpowiedziałem zwięźle
questioner,John i wszyscy inni pytający zauważyła Diana
remuneration,i
barest,go i mnie
necessaries,go i mnie
mightily,Napój mocno mnie orzeźwił
rescued,uratowałeś mnie od śmierci swoją szlachetną gościnnością
extent,do
harboured,w
compromising,Opowiem ci tyle o historii wędrowca którego nosiłeś ile mogę opowiedzieć bez narażania mojego spokoju ducha własnego bezpieczeństwa moralnego i fizycznego oraz innych
educated,się
culpability,Jestem wolny od winy jak ktokolwiek z was trzech
Miserable,Jestem nieszczęśliwy i muszę być przez jakiś czas
direful,ponieważ katastrofa która wyrzuciła mnie z domu który znalazłem miała dziwny i tragiczny charakter
gasp,kiedy głód wyczerpanie i rozpacz doprowadzone niemal do ostatniego tchnienia to Pan panie
torpor,i
imperturbably,John przez kilka chwil zastanawiał się czy ruszył dalej tak niewzruszenie iz taką samą przenikliwością jak zawsze
undemonstrative,Będziesz powtórzyła Mary tonem niewidocznej szczerości która wydawała się jej naturalna
humblest,i
efficient,A jeśli jesteście skłonni pogardzać dniem małych rzeczy szukajcie bardziej skutecznej pomocy niż ta którą mogę zaoferować Powiedziała już że jest gotowa zrobić wszystko co w jej mocy uczciwie odpowiedziała za mnie Diana
succour,A jeśli jesteście skłonni pogardzać dniem małych rzeczy szukajcie bardziej skutecznej pomocy niż ta którą mogę zaoferować Powiedziała już że jest gotowa zrobić wszystko co w jej mocy uczciwie odpowiedziała za mnie Diana
